Dato,Skole ,Elevdag ,SFOdag ,Kommentar 
13.05.2017,Solås skole ,Nei,Nei,Lørdag 
14.05.2017,Solås skole ,Nei,Nei,Søndag 
15.05.2017,Solås skole ,Ja,Ja,1
16.05.2017,Solås skole ,Ja,Ja,1
17.05.2017,Solås skole ,Nei,Nei,Grunnlovsdag 
18.05.2017,Solås skole ,Ja,Ja,1
19.05.2017,Solås skole ,Ja,Ja,1
20.05.2017,Solås skole ,Nei,Nei,Lørdag 
21.05.2017,Solås skole ,Nei,Nei,Søndag 
22.05.2017,Solås skole ,Ja,Ja,1
23.05.2017,Solås skole ,Ja,Ja,1
24.05.2017,Solås skole ,Ja,ja,1
25.05.2017,Solås skole ,Nei,Nei,Kr.H.f
26.05.2017,Solås skole ,Nei,Ja,1
27.05.2017,Solås skole ,Nei,Nei,Lørdag 
28.05.2017,Solås skole ,Nei,Nei,Søndag 
29.05.2017,Solås skole ,Ja,Ja,1
30.05.2017,Solås skole ,Ja,Ja,1
31.05.2017,Solås skole ,Ja,Ja,1
01.06.2017,Solås skole ,Ja,Ja,1
02.06.2017,Solås skole ,Ja,Ja,1
03.06.2017,Solås skole ,Nei,Nei,Lørdag 
04.06.2017,Solås skole ,Nei,Nei,Søndag 
05.06.2017,Solås skole ,Nei,Nei,2.Pinsedag 
06.06.2017,Solås skole ,Ja,Ja,1
07.06.2017,Solås skole ,Ja,Ja,1
08.06.2017,Solås skole ,Ja,Ja,1
09.06.2017,Solås skole ,Ja,Ja,1
10.06.2017,Solås skole ,Nei,Nei,Lørdag 
11.06.2017,Solås skole ,Nei,Nei,Søndag 
12.06.2017,Solås skole ,Ja,Ja,1
13.06.2017,Solås skole ,Ja,Ja,1
14.06.2017,Solås skole ,Ja,Ja,1
15.06.2017,Solås skole ,Ja,Ja,1
16.06.2017,Solås skole ,Ja,Ja,1
17.06.2017,Solås skole ,Nei,Nei,Lørdag 
